Fiyat_Listesi_Adi;Hizmet_Adi;Birim;Standart_Birim_Fiyat_TL
Euro Fiyat Listesi;Veeam Backup & Replication Enterprise Plus Lisansı;per VM;9.24
TL Fiyat Listesi;Veeam Backup & Replication Enterprise Plus Lisansı;per VM;487.31
USD Fiyat Listesi;Cross Connection Port Hizmeti;Adet;201.25
Euro Fiyat Listesi;Cross Connection Port Hizmeti;Adet;170.79
TL Fiyat Listesi;Offsite Backup Disk Alanı (S3);GB;0.89
USD Fiyat Listesi;Offsite Backup Disk Alanı (S3);GB;0.02
Euro Fiyat Listesi;Offsite Backup Disk Alanı (S3);GB;0.02
TL Fiyat Listesi;FortiGate - Sanal Dedike Appliance - VM02 - ATP Lisans - Yönetim Dahil;Adet;14811.31
USD Fiyat Listesi;FortiGate - Sanal Dedike Appliance - VM02 - ATP Lisans - Yönetim Dahil;Adet;330.99
Euro Fiyat Listesi;FortiGate - Sanal Dedike Appliance - VM02 - ATP Lisans - Yönetim Dahil;Adet;280.89
TL Fiyat Listesi;FortiGate - Sanal Dedike Appliance - VM02 - UTP Lisans - Yönetim Dahil;Adet;16628.54
USD Fiyat Listesi;FortiGate - Sanal Dedike Appliance - VM02 - UTP Lisans - Yönetim Dahil;Adet;371.6
Euro Fiyat Listesi;FortiGate - Sanal Dedike Appliance - VM02 - UTP Lisans - Yönetim Dahil;Adet;315.35
TL Fiyat Listesi;FortiGate - Sanal Dedike Appliance - VM02 - FortiCare Lisans - Yönetim Dahil;Adet;12993.62
Euro Fiyat Listesi;FortiGate - Sanal Dedike Appliance - VM02 - FortiCare Lisans - Yönetim Dahil;Adet;246.42
USD Fiyat Listesi;FortiGate - Sanal Dedike Appliance - VM02 - FortiCare Lisans - Yönetim Dahil;Adet;290.37
USD Fiyat Listesi;CCSP-RH02823MO RedHat Enterprise Linux Server, Full Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Monthly);Adet;11.2
USD Fiyat Listesi;CCSP-RH02825MO RedHat Enterprise Linux Server,Full Support(128 to unlimited vCPUs,Multi-Tenant,Monthly);Adet;7.28
USD Fiyat Listesi;CCSP-RH02824MO Red Hat Enterprise Linux Server, Full Support (9 to 127 vCPUs per Virtual Node, Multi-Tenant, Monthly);Adet;8.41
USD Fiyat Listesi;CCSP-RH02823 Red Hat Enterprise Linux Server, Full Support (1 to 8 vCPUs per Virtual Node, Multi-Tenant, Yearly);Adet;116.52
USD Fiyat Listesi;CCSP-MCT3027 Red Hat Satellite for Service Providers, Full Support (Managed Node, Monthly);Adet;6.33
TL Fiyat Listesi;Hyperconverged Mimari Zerto Replication vCpu;vCPU;73.39
